wavelength,zt532rdc,zt594rdc,zt633rdc,zt491rdc,zt458rdc,zt514rdc,zt561rdc,,,,,
380,0.00396805,0.179184005,0.364616007,1.00E-08,1.00E-08,0.114711002,0.0294536,,,,,
381,0.022756301,0.162677005,0.329457998,0.000702695,1.00E-08,0.116653003,0.034676202,,,,,
382,0.047037099,0.141185999,0.283659011,0.00144151,1.00E-08,0.120690003,0.042248599,,,,,
383,0.046510801,0.175904006,0.335354,0.00323611,1.00E-08,0.0513415,0.018509099,,,,,
384,0.058044501,2.48E-01,0.409685999,0.00150115,1.00E-08,0.016449099,0.0011684,,,,,
385,0.086533301,0.265370011,0.437081993,0.000313501,1.00E-08,0.023050301,3.09E-06,,,,,
386,0.074971899,0.287214994,0.424472004,0.000115007,1.00E-08,0.0622705,7.34E-05,,,,,
387,0.053012099,0.382786006,0.366564006,0.000103308,1.00E-08,0.0807845,9.50E-07,,,,,
388,0.116994001,0.434246004,0.304830998,0.000135231,1.00E-08,0.0386682,6.54E-05,,,,,
389,0.172289997,0.412966013,0.327886999,0.000393397,1.00E-08,0.0130272,0.000120672,,,,,
390,0.114053003,0.408701003,0.368149996,0.000856613,1.00E-08,0.0136869,0.000122518,,,,,
391,0.052222699,0.414168,0.301869988,0.000683213,1.00E-08,0.017493,0.000220654,,,,,
392,0.064915501,0.355316997,0.189346999,0.000236079,1.00E-08,0.0142491,0.000104338,,,,,
393,0.128726006,0.253412992,0.168714002,7.18E-05,1.00E-08,0.00720354,9.50E-07,,,,,
394,0.135361001,0.164842993,0.223215997,7.53E-05,1.00E-08,0.00270228,1.66E-05,,,,,
395,0.058398601,0.153520003,0.243147001,0.000113365,1.00E-08,0.00212887,0.000339414,,,,,
396,0.023205699,0.160965994,0.180015996,0.000162131,1.89E-05,0.00317,0.000280453,,,,,
397,0.0381261,0.095790498,0.134256005,0.000284735,1.00E-08,0.00457428,0.00398358,,,,,
398,0.104719996,0.034158401,0.173059002,0.00019945,1.37E-05,0.00422374,0.025285,,,,,
399,0.126295,0.044097099,0.262825012,5.53E-05,1.00E-08,0.00262138,0.065211199,,,,,
400,0.065467902,0.035904199,0.302394003,2.46E-05,1.00E-08,0.000920067,0.073205598,,,,,
401,0.020785701,0.00814348,0.288109004,5.64E-06,1.00E-08,0.000297561,0.073443398,,,,,
402,0.0193235,0.000501254,0.328045011,1.00E-08,3.54E-05,0.000865566,0.107409999,,,,,
403,0.027607201,1.00E-08,0.435068011,1.00E-08,0.000392053,0.0011508,0.117656,,,,,
404,0.0250338,1.00E-08,0.507198989,1.18E-05,0.000892115,0.00145694,0.084517099,,,,,
405,0.0125257,0.000306092,0.492132992,0.000224389,0.000922368,0.00211672,0.075225398,,,,,
406,0.00490313,1.00E-08,0.442510992,0.000280961,0.00048663,0.00189362,0.139494002,,,,,
407,0.00301702,0.000204199,0.464774013,0.000192714,0.000196174,0.000506944,0.195507005,,,,,
408,0.00307663,1.00E-08,0.525403023,7.42E-05,0.000181995,0.000700767,0.138001993,,,,,
409,0.00489201,5.95E-05,0.485956013,8.65E-07,0.000233359,0.000318966,0.061326001,,,,,
410,0.0068896,1.00E-08,0.388195008,1.00E-08,0.000436729,0.000567957,0.041386001,,,,,
411,0.00585424,1.00E-08,0.288617015,1.73E-05,0.00100119,0.000547029,0.067657001,,,,,
412,0.00349914,1.00E-08,0.191012993,0.0001974,0.00225301,0.000754411,0.142527997,,,,,
413,0.00175208,1.00E-08,0.149578005,0.000393398,0.00544695,0.000759332,0.169036999,,,,,
414,0.00094107,1.00E-08,0.167730004,0.000390026,0.00715296,0.000655185,0.0971983,,,,,
415,0.00141301,1.00E-08,0.208064005,0.00023983,0.00454435,0.000108961,0.040830798,,,,,
416,0.00114542,0.000702171,0.177576005,8.62E-05,0.00257668,0.000359851,0.038899399,,,,,
417,0.00140384,0.00366558,0.084710397,4.52E-06,0.00179835,0.000422683,0.088692203,,,,,
418,0.00239993,0.022722101,0.0360795,1.50E-05,0.00157863,0.000392957,0.172052994,,,,,
419,0.00233786,0.100589,0.0307501,0.000101852,0.00159782,0.000220343,0.159961,,,,,
420,0.00179321,0.172536999,0.0577222,0.000247725,0.00197461,0.00041616,0.076698199,,,,,
421,0.00127259,0.139209002,0.077293903,0.000461957,0.00288413,0.000502241,0.030752899,,,,,
422,0.000776249,0.051837102,0.039301999,0.00062962,0.00461569,0.000793809,0.031151701,,,,,
423,0.000421043,0.0168609,0.00442825,0.000542967,0.00820606,0.00066188,0.042877,,,,,
424,0.000705742,0.0145216,0.000561856,0.000385342,0.0132935,0.000490991,0.041379102,,,,,
425,0.000690761,0.042742599,0.000562375,0.00024318,0.0148632,0.000306037,0.0236696,,,,,
426,0.001274,0.107795,0.00039763,0.000251668,0.0118169,0.000213241,0.00902913,,,,,
427,0.000730859,0.129130006,0.000225637,0.00023274,0.00844407,0.000270858,0.00434772,,,,,
428,0.000581977,0.072391197,0.000151342,0.000276649,0.00672118,0.000509404,0.00323923,,,,,
429,0.000750653,0.033886701,0.000299897,0.000353137,0.00631873,0.000637814,0.00436833,,,,,
430,0.000387284,0.059560999,0.000607721,0.000680033,0.00692702,0.00042938,0.00685537,,,,,
431,0.000456025,0.133738995,0.000603519,0.00104119,0.00878063,0.000762893,0.00939111,,,,,
432,0.000582282,0.189662993,0.000360923,0.00146094,0.0128692,0.000616912,0.00751294,,,,,
433,0.000223831,0.140588999,0.00060504,0.00140088,0.016277499,0.000329096,0.00330394,,,,,
434,0.000563444,0.079167098,0.000490662,0.00105776,0.0155782,0.000233675,0.00151065,,,,,
435,0.000862663,0.078610197,0.000362022,0.000753866,0.0098843,0.000507469,0.000803388,,,,,
436,0.000789832,0.128058001,0.000493771,0.000713248,0.00579811,0.000463709,0.00069049,,,,,
437,0.000994078,0.197916001,0.000389543,0.000650738,0.00322002,0.000470627,0.00112107,,,,,
438,0.000727221,0.211706996,0.000452251,0.000831446,0.00203406,0.000707561,0.00106436,,,,,
439,0.000497116,0.177728996,0.000904771,0.00124454,0.00144853,0.000820289,0.00212004,,,,,
440,0.000782825,0.211521,0.00257478,0.002261,0.00122233,0.000711229,0.00269534,,,,,
441,0.000826192,0.306398004,0.0134596,0.00441247,0.00105706,0.000805618,0.0020065,,,,,
442,0.000545629,0.287072986,0.056175198,0.00834384,0.000983448,0.000681715,0.000906861,,,,,
443,0.000596825,0.187980995,0.116308004,0.00925851,0.00092114,0.000505698,0.00049093,,,,,
444,0.000726943,0.139740005,0.137695,0.00627039,0.000970103,0.00050981,0.000509025,,,,,
445,0.000861798,0.171569005,0.145593002,0.00386569,0.00105046,0.000458158,0.000357755,,,,,
446,0.000679106,0.172958001,0.155255005,0.00270459,0.00122024,0.000480484,0.00050498,,,,,
447,0.000811819,0.102706999,0.134776995,0.00231002,0.00150959,0.000949909,0.000784683,,,,,
448,0.000562835,0.038028799,0.155373007,0.00217585,0.00182775,0.000975151,0.00114593,,,,,
449,0.000537742,0.0209755,0.235494003,0.00235911,0.00217514,0.00134432,0.00107247,,,,,
450,0.000374898,0.0214651,0.273106009,0.00285486,0.00262976,0.00177248,0.000847019,,,,,
451,0.000608115,0.0301075,0.269484997,0.00396813,0.00325532,0.00173713,0.000245423,,,,,
452,0.00058526,0.033155199,0.210676998,0.00603588,0.00401371,0.0016055,0.000314212,,,,,
453,0.000695008,0.0245069,0.110647,0.0096412,0.00500292,0.00136594,0.000307853,,,,,
454,0.000804989,0.0118358,0.065361097,0.0144385,0.00621619,0.00108145,0.000282435,,,,,
455,0.00104314,0.00624402,0.054490998,0.0173818,0.0077041,0.0012958,0.000202566,,,,,
456,0.00109383,0.00534912,0.0391469,0.016159501,0.00963184,0.00105045,0.000327712,,,,,
457,0.00116134,0.00696028,0.060794201,0.0129862,0.0117791,0.0015934,0.000554593,,,,,
458,0.000589825,0.00895543,0.161151007,0.0102862,0.0158363,0.00231497,0.000697622,,,,,
459,0.000792774,0.00853801,0.230504006,0.00878195,0.0220061,0.0038811,0.000407856,,,,,
460,0.000694791,0.00524611,0.166391,0.00834265,0.031666499,0.006991,0.000577205,,,,,
461,0.000660619,0.00285288,0.084499203,0.00869342,0.047813099,0.0100203,0.000467889,,,,,
462,0.000649666,0.00185609,0.0758387,0.0100004,0.074361503,0.0101864,0.000341241,,,,,
463,0.00110697,0.00176071,0.130926996,0.0127395,0.119781002,0.00789606,0.000219721,,,,,
464,0.00139239,0.00220606,0.245105997,0.0168532,0.192049995,0.00532261,0.00033966,,,,,
465,0.00172079,0.00285527,0.283964992,0.02022,0.287281007,0.00397047,0.000448143,,,,,
466,0.00218335,0.00307158,0.193367004,0.019063801,0.397798002,0.00323085,0.000534864,,,,,
467,0.00222956,0.00265361,0.108631,0.0139533,0.497868001,0.00311263,0.000718494,,,,,
468,0.00161642,0.00168344,0.103083,0.00937962,0.602047026,0.00326403,0.00065379,,,,,
469,0.0013579,0.00102056,0.148044005,0.0060938,0.757714987,0.00367703,0.000675412,,,,,
470,0.00127024,0.000747443,0.173218995,0.00424219,0.882490993,0.00466518,0.000564882,,,,,
471,0.00123501,0.00092219,0.118707001,0.00312455,0.928987026,0.00645583,0.000395058,,,,,
472,0.00129299,0.00109649,0.048950799,0.00246494,0.939561009,0.00933408,0.000312984,,,,,
473,0.00138527,0.00134678,0.0217226,0.002104,0.944984972,0.0139459,0.000245468,,,,,
474,0.001922,0.00135722,0.0153355,0.0019188,0.951985002,0.0186399,0.000250493,,,,,
475,0.00281073,0.00122695,0.017268799,0.00185619,0.955973983,0.02101,0.000231818,,,,,
476,0.00485398,0.00101585,0.025978601,0.00185175,0.960970998,0.0196534,0.000480168,,,,,
477,0.0084487,0.000767071,0.033622701,0.00189679,0.963424027,0.0162785,0.000603573,,,,,
478,0.0113686,0.000423329,0.0289113,0.00201219,0.963571012,0.0128307,0.000808492,,,,,
479,0.0113528,0.000570569,0.0144346,0.00217295,0.962400019,0.0106523,0.00093388,,,,,
480,0.00843332,0.000726011,0.0056984,0.00246105,0.961291015,0.00951942,0.000860881,,,,,
481,0.00562796,0.000802097,0.00311615,0.00289705,0.959914029,0.00953842,0.00080808,,,,,
482,0.00414135,0.000917288,0.00221855,0.00337837,0.959433019,0.0107039,0.000514486,,,,,
483,0.00355892,0.000957445,0.00207222,0.00392394,0.96004802,0.012976,0.000368919,,,,,
484,0.00314872,0.000772407,0.00246087,0.00459618,0.960247993,0.0167876,0.000424282,,,,,
485,0.00328851,0.000543832,0.00366464,0.00524812,0.959662974,0.021782501,0.000434577,,,,,
486,0.00365087,0.000578893,0.00615208,0.0062006,0.959712029,0.024681199,0.000459583,,,,,
487,0.00448515,0.000515069,0.00802667,0.00745861,0.961304009,0.0225066,0.000659685,,,,,
488,0.00577052,0.000551965,0.00697629,0.00892099,0.963824987,0.0166946,0.000850604,,,,,
489,0.00824347,0.000547257,0.00419132,0.0106555,0.965318024,0.0110042,0.00119598,,,,,
490,0.0119074,0.000590856,0.00212245,0.0125991,0.966449022,0.00701618,0.00174499,,,,,
491,0.016445899,0.000833103,0.00129103,0.0157231,0.96845299,0.00500412,0.00216093,,,,,
492,0.020295,0.000768953,0.00118126,0.020738101,0.970885992,0.00371916,0.00221088,,,,,
493,0.020811399,0.000797256,0.00131086,0.027594101,0.972366989,0.00308625,0.001951,,,,,
494,0.018145399,0.000610665,0.00153371,0.0379568,0.972855985,0.0026111,0.00161534,,,,,
495,0.0149141,0.000563586,0.00213368,0.054128099,0.971211016,0.00237091,0.00126791,,,,,
496,0.0121585,0.000543888,0.00267651,0.079099499,0.971117973,0.00220978,0.001172,,,,,
497,0.010757,0.000592037,0.00261001,0.109117001,0.969658017,0.0022676,0.00116702,,,,,
498,0.0101602,0.000734941,0.00191932,0.161337003,0.970174015,0.00240186,0.00125902,,,,,
499,0.0104414,0.000782028,0.00116818,0.234946996,0.970961988,0.00254738,0.00172947,,,,,
500,0.0117974,0.000874947,0.000872517,0.327114999,0.971427977,0.00268539,0.00259231,,,,,
501,0.0142002,0.000936336,0.000742339,0.431663007,0.972508013,0.00303004,0.00415507,,,,,
502,0.017962901,0.000813223,0.00063394,0.51323998,0.972774029,0.00335558,0.00735033,,,,,
503,0.0226149,0.000680218,0.000705226,0.629453003,0.972513974,0.00367908,0.0112254,,,,,
504,0.024782199,0.000661771,0.00094261,0.76868701,0.972902,0.00416216,0.013048,,,,,
505,0.022646699,0.000678148,0.00123415,0.871967971,0.972636998,0.00470403,0.0111868,,,,,
506,0.017576599,0.000835485,0.00145316,0.912258983,0.972841024,0.00539016,0.00777598,,,,,
507,0.0121756,0.00109868,0.00136021,0.923869014,0.97211498,0.00620669,0.00546791,,,,,
508,0.00840736,0.00129207,0.00112582,0.931137025,0.973188996,0.00713022,0.00422747,,,,,
509,0.00600334,0.00118622,0.000813272,0.939100027,0.973249018,0.00818547,0.00358017,,,,,
510,0.00464451,0.00106965,0.000543473,0.945218027,0.972989976,0.00971711,0.0035322,,,,,
511,0.00379419,0.000930518,0.000451337,0.950259984,0.971886992,0.0114695,0.00359265,,,,,
512,0.0031972,0.000783208,0.000476027,0.95449698,0.972709,0.0139603,0.00413666,,,,,
513,0.00294752,0.000741447,0.000494143,0.957204998,0.97150898,0.017422,0.0049853,,,,,
514,0.00272134,0.00069155,0.000522765,0.958293021,0.970650017,0.0221649,0.0066134,,,,,
515,0.00274356,0.000952074,0.000702235,0.959797978,0.96895498,0.029074199,0.00918985,,,,,
516,0.00271121,0.00120995,0.000969321,0.960412025,0.968706012,0.038369101,0.0128544,,,,,
517,0.00282764,0.00157552,0.00117843,0.961996019,0.969734013,0.0529835,0.0178388,,,,,
518,0.00297978,0.00202904,0.00114112,0.963084996,0.971418023,0.074865401,0.0222164,,,,,
519,0.00314042,0.00232518,0.000994285,0.963913977,0.972581029,0.107951999,0.023881,,,,,
520,0.0034316,0.0020853,0.000714607,0.965009987,0.975079,0.157196999,0.022280799,,,,,
521,0.00384051,0.00173237,0.000548564,0.964614987,0.978076994,0.226707995,0.0188471,,,,,
522,0.00430335,0.00145087,0.000501465,0.963477015,0.980459988,0.307826012,0.0159487,,,,,
523,0.00477149,0.00125714,0.000405562,0.962275982,0.981599987,0.403822988,0.0135495,,,,,
524,0.00521633,0.00121084,0.000491517,0.961808026,0.981477976,0.502126992,0.0121946,,,,,
525,0.00588578,0.00124963,0.000606456,0.962779999,0.981221974,0.614660025,0.0118367,,,,,
526,0.00663332,0.00158156,0.000711472,0.964672983,0.981283009,0.735332012,0.0122788,,,,,
527,0.00745424,0.00215201,0.00105787,0.966930985,0.979062021,0.838431001,0.0136456,,,,,
528,0.00858588,0.00311047,0.00131035,0.970616996,0.976722002,0.914906025,0.0160168,,,,,
529,0.00991618,0.00437082,0.00140705,0.972124994,0.975615025,0.95094198,0.0194942,,,,,
530,0.0114736,0.00528663,0.00124477,0.97338903,0.975676,0.963281989,0.024392501,,,,,
531,0.0134653,0.00548074,0.00092746,0.973356009,0.975351989,0.966744006,0.0290705,,,,,
532,0.016307401,0.00495581,0.000688796,0.971889973,0.975535989,0.971350014,0.030459801,,,,,
533,0.0200847,0.00411037,0.000630062,0.970642984,0.976553023,0.971412003,0.0272735,,,,,
534,0.0255704,0.00340504,0.000556492,0.969587028,0.978532016,0.974563003,0.020983201,,,,,
535,0.032645401,0.00313474,0.000487125,0.968349993,0.98081398,0.974722981,0.0149396,,,,,
536,0.0433111,0.00324145,0.000548638,0.968922973,0.981873989,0.972427011,0.0107604,,,,,
537,0.059455801,0.00385628,0.000683544,0.968798995,0.98210597,0.969704986,0.00799893,,,,,
538,0.083363898,0.00538654,0.000838626,0.969563007,0.982622981,0.970713019,0.00619662,,,,,
539,0.118267,0.0084979,0.00122036,0.970480025,0.982475996,0.970583022,0.00497929,,,,,
540,0.168697,0.0142406,0.00158168,0.970960975,0.982379973,0.970812976,0.00432559,,,,,
541,0.235177994,0.020076601,0.00177776,0.971463025,0.982667029,0.972338021,0.00392084,,,,,
542,0.312530994,0.0210697,0.00165138,0.972193003,0.982683003,0.972835004,0.00356518,,,,,
543,0.405889988,0.0158839,0.00146565,0.971637011,0.983031988,0.974749029,0.0034144,,,,,
544,0.506878018,0.00963552,0.00125759,0.972012997,0.982514024,0.978307009,0.00345048,,,,,
545,0.62105298,0.00578662,0.0010088,0.972232997,0.981994987,0.980545998,0.00345539,,,,,
546,0.742223024,0.00417758,0.000826655,0.972925007,0.982930005,0.979502976,0.00361479,,,,,
547,0.852693021,0.00346388,0.000784951,0.973604023,0.98269397,0.978619993,0.00375805,,,,,
548,0.924641013,0.00331698,0.000868504,0.97418803,0.98300302,0.975546002,0.00402019,,,,,
549,0.955061972,0.00372236,0.00103767,0.975507021,0.983209014,0.97508198,0.00432649,,,,,
550,0.964039028,0.00482208,0.00128756,0.977307022,0.983776987,0.974489987,0.00476412,,,,,
551,0.966922998,0.00743624,0.00173955,0.977921009,0.983778,0.974651992,0.00522657,,,,,
552,0.969330013,0.0131541,0.00257887,0.977575004,0.983898997,0.974156022,0.00574751,,,,,
553,0.971078992,0.0229785,0.00369786,0.977075994,0.984153986,0.973719001,0.00633221,,,,,
554,0.972371995,0.032393102,0.00458533,0.97686398,0.983049989,0.973577023,0.00700724,,,,,
555,0.97339797,0.0295237,0.00474966,0.975907981,0.981949985,0.972432971,0.0077744,,,,,
556,0.974030972,0.0177348,0.00414184,0.975233018,0.981290996,0.97341001,0.00878671,,,,,
557,0.974659026,0.00935645,0.00325031,0.975001991,0.98110503,0.973972023,0.0098157,,,,,
558,0.97477901,0.00580608,0.00268173,0.975220025,0.981936991,0.975413024,0.0111495,,,,,
559,0.97400099,0.00424166,0.00232498,0.974858999,0.981621027,0.975758016,0.0129852,,,,,
560,0.972743988,0.00366941,0.00229823,0.975741029,0.981348991,0.975495994,0.0154053,,,,,
561,0.973819971,0.00378163,0.00244029,0.97664398,0.981756985,0.975148022,0.018557001,,,,,
562,0.974940002,0.00452172,0.00291985,0.978097022,0.98190099,0.974929988,0.0226654,,,,,
563,0.975798011,0.0059343,0.003768,0.97842598,0.983458996,0.977002025,0.028480999,,,,,
564,0.975854993,0.010061,0.00547675,0.979291975,0.983662009,0.977059007,0.0368632,,,,,
565,0.974958003,0.019892,0.00873019,0.980067015,0.983699977,0.977831006,0.048722401,,,,,
566,0.973643005,0.033451099,0.0136454,0.978691995,0.982967973,0.977029979,0.065712303,,,,,
567,0.973452985,0.0369782,0.0180039,0.978444993,0.982662022,0.976220012,0.088799298,,,,,
568,0.972862005,0.0256551,0.0186469,0.978748024,0.981323004,0.976319015,0.123737,,,,,
569,0.972972989,0.0123269,0.0153479,0.977984011,0.981437981,0.976585984,0.172494993,,,,,
570,0.973550975,0.00573581,0.0109218,0.976445973,0.982066989,0.975905001,0.234758005,,,,,
571,0.974942982,0.00331667,0.00783211,0.976054013,0.982379973,0.974573016,0.311235994,,,,,
572,0.976225019,0.0022766,0.00602868,0.975444973,0.981724024,0.974157989,0.397698998,,,,,
573,0.977564991,0.00178129,0.00518158,0.975405991,0.98278898,0.974511981,0.491822988,,,,,
574,0.978363991,0.00151021,0.00470594,0.976406991,0.982886016,0.973609984,0.590263009,,,,,
575,0.978963017,0.0013757,0.00465696,0.976963997,0.983070016,0.973478973,0.702418029,,,,,
576,0.979129016,0.00132021,0.00493795,0.977711976,0.983402014,0.975674987,0.805541992,,,,,
577,0.97853899,0.00122071,0.00546628,0.979493976,0.983240008,0.976611018,0.882255018,,,,,
578,0.977949977,0.00124465,0.00652169,0.979644001,0.984354973,0.977061987,0.927444994,,,,,
579,0.977452993,0.00135026,0.00786533,0.980319977,0.984021008,0.977086008,0.947642982,,,,,
580,0.977087021,0.00152221,0.0103157,0.981233001,0.984887004,0.977541983,0.954463005,,,,,
581,0.977156997,0.00162537,0.0138018,0.981213987,0.984516978,0.977348983,0.957458973,,,,,
582,0.97784698,0.00180718,0.0185101,0.980944991,0.984395981,0.977654994,0.957557976,,,,,
583,0.977849007,0.00213554,0.024120299,0.980666995,0.983946979,0.976809978,0.957956016,,,,,
584,0.978439987,0.0023311,0.0291637,0.980323017,0.983695984,0.975498974,0.961208999,,,,,
585,0.979362011,0.0026148,0.0313503,0.979893982,0.983013988,0.975845993,0.961899996,,,,,
586,0.979516029,0.00309751,0.029972799,0.979674995,0.982928991,0.976161003,0.964707971,,,,,
587,0.980787992,0.00347259,0.0265499,0.979707003,0.982753992,0.976298988,0.965031981,,,,,
588,0.981561005,0.0039889,0.0224148,0.979939997,0.980795979,0.977712989,0.965727985,,,,,
589,0.981962025,0.00459854,0.018885599,0.979627013,0.980436981,0.978693008,0.966103971,,,,,
590,0.981034994,0.00560147,0.016632499,0.979880989,0.980027974,0.979443014,0.964856982,,,,,
